Time;Latitude;Longitude;Altitude;Speed;row;pitch;yaw
252,628337;-6,980077;107,5689323;707,8;129.396.200.000.000;-178.000.000.000.000;649.000.000.000.000;251.930.000.000.000
252,828378;-6,9800927;107,5689151;708,94;127.011.800.000.000;-199.000.000.000.000;643.000.000.000.000;251.910.000.000.000
253,028388;-6,9801086;107,5688987;710,19;124.828.900.000.000;-215.000.000.000.000;636.000.000.000.000;251.830.000.000.000
253,228709;-6,9801246;107,5688827;711,28;123.186.800.000.000;-223.000.000.000.000;626.000.000.000.000;251.730.000.000.000
253,428548;-6,9801411;107,5688679;712,51;121.097.800.000.000;-228.000.000.000.000;613.000.000.000.000;251.650.000.000.000
253,628359;-6,9801576;107,5688532;713,7;120.765.300.000.000;-228.000.000.000.000;599.000.000.000.000;251.580.000.000.000
253,848142;-6,9801742;107,5688392;714,96;118.396.700.000.000;-223.000.000.000.000;585.000.000.000.000;251.540.000.000.000
254,028674;-6,980191;107,5688257;716,24;116.359.300.000.000;-205.000.000.000.000;573.000.000.000.000;251.530.000.000.000
254,228167;-6,9802082;107,5688127;717,39;120.413.400.000.000;-186.000.000.000.000;561.000.000.000.000;251.550.000.000.000
254,428574;-6,980226;107,5688001;718,64;120.979.200.000.000;-170.000.000.000.000;551.000.000.000.000;251.560.000.000.000
254,628207;-6,9802439;107,5687872;719,72;120.869.600.000.000;-160.000.000.000.000;543.000.000.000.000;251.570.000.000.000
254,827981;-6,9802622;107,5687752;720,87;120.943.400.000.000;-156.000.000.000.000;538.000.000.000.000;251.580.000.000.000
255,028508;-6,9802811;107,568764;721,99;121.966.100.000.000;-155.000.000.000.000;532.000.000.000.000;251.600.000.000.000
255,228175;-6,9803005;107,5687535;723,14;124.072.000.000.000;-155.000.000.000.000;526.000.000.000.000;251.640.000.000.000
255,428207;-6,9803207;107,5687434;724,15;125.936.800.000.000;-154.000.000.000.000;522.000.000.000.000;251.670.000.000.000
255,628273;-6,9803415;107,5687344;725,18;126.310.100.000.000;-149.000.000.000.000;520.000.000.000.000;251.700.000.000.000
255,828237;-6,9803628;107,5687263;726,29;127.000.200.000.000;-139.000.000.000.000;522.000.000.000.000;251.730.000.000.000
256,028266;-6,9803851;107,56872;727,3;132.207.800.000.000;-125.000.000.000.000;526.000.000.000.000;251.760.000.000.000
256,228212;-6,9804089;107,568715;728,16;136.731.300.000.000;-112.000.000.000.000;531.000.000.000.000;251.760.000.000.000
256,428217;-6,9804332;107,5687115;729,04;134.591.400.000.000;-103.000.000.000.000;534.000.000.000.000;251.730.000.000.000
256,628323;-6,9804578;107,568709;729,8;138.498.600.000.000;-0,98;534.000.000.000.000;251.690.000.000.000
256,828545;-6,980483;107,5687082;730,69;139.326.200.000.000;-0,98;539.000.000.000.000;251.650.000.000.000
257,028249;-6,9805084;107,5687089;731,52;140.475.900.000.000;-103.000.000.000.000;545.000.000.000.000;251.620.000.000.000
257,228112;-6,9805343;107,5687118;732,39;145.693.200.000.000;-108.000.000.000.000;552.000.000.000.000;251.610.000.000.000
257,428216;-6,9805605;107,5687165;733,22;146.210.800.000.000;-114.000.000.000.000;560.000.000.000.000;251.610.000.000.000
257,628822;-6,9805866;107,5687228;734,12;147.296.900.000.000;-118.000.000.000.000;567.000.000.000.000;251.620.000.000.000
257,82844;-6,9806126;107,5687303;734,97;148.769.100.000.000;-117.000.000.000.000;569.000.000.000.000;251.610.000.000.000
258,028623;-6,9806386;107,5687388;735,73;151.594.100.000.000;-112.000.000.000.000;568.000.000.000.000;251.610.000.000.000
258,228543;-6,9806647;107,568748;736,44;153.108.600.000.000;-103.000.000.000.000;565.000.000.000.000;251.590.000.000.000
258,428154;-6,9806908;107,5687581;737,17;153.840.500.000.000;-0,92;562.000.000.000.000;251.560.000.000.000
258,628404;-6,9807167;107,5687693;737,75;158.969.700.000.000;-0,81;559.000.000.000.000;251.540.000.000.000
258,828229;-6,9807428;107,5687812;738,41;159.034.100.000.000;-0,69;555.000.000.000.000;251.520.000.000.000
259,028535;-6,9807687;107,5687941;739,08;159.941.400.000.000;-0,53;552.000.000.000.000;251.500.000.000.000
259,228292;-6,980794;107,5688082;739,8;161.146.200.000.000;-0,33;545.000.000.000.000;251.470.000.000.000
259,428152;-6,9808192;107,5688233;740,46;163.878.000.000.000;-0,09;540.000.000.000.000;251.450.000.000.000
259,628295;-6,980844;107,5688398;741,13;167.828.600.000.000;0,13;538.000.000.000.000;251.420.000.000.000
259,828636;-6,9808682;107,5688579;741,78;169.378.700.000.000;0,37;540.000.000.000.000;251.400.000.000.000
260,028425;-6,9808921;107,5688772;742,5;171.734.700.000.000;0,56;548.000.000.000.000;251.360.000.000.000
260,228278;-6,980915;107,5688967;743,27;168.925.800.000.000;0,59;564.000.000.000.000;251.300.000.000.000
260,428553;-6,9809377;107,5689166;743,81;169.838.400.000.000;0,35;583.000.000.000.000;251.230.000.000.000
260,628294;-6,9809604;107,5689364;744,41;170.218.400.000.000;-0,09;6;251.190.000.000.000
260,828499;-6,9809833;107,5689567;745,01;173.078.700.000.000;-0,69;618.000.000.000.000;251.200.000.000.000
261,028246;-6,9810061;107,5689774;745,5;175.081.100.000.000;-128.000.000.000.000;635.000.000.000.000;251.290.000.000.000
261,228248;-6,9810288;107,5689983;745,85;175.833.800.000.000;-172.000.000.000.000;642.000.000.000.000;251.470.000.000.000
261,428132;-6,9810521;107,569019;746,26;178.448.400.000.000;-2;643.000.000.000.000;251.670.000.000.000
261,628234;-6,9810762;107,5690399;746,55;179.490.700.000.000;-216.000.000.000.000;642.000.000.000.000;251.850.000.000.000
261,828241;-6,9811001;107,5690614;746,97;181.076.800.000.000;-223.000.000.000.000;638.000.000.000.000;251.980.000.000.000
262,028616;-6,9811242;107,5690835;747,4;184.407.700.000.000;-223.000.000.000.000;634.000.000.000.000;252.030.000.000.000
262,228246;-6,9811483;107,5691056;747,89;183.884.800.000.000;-224.000.000.000.000;633.000.000.000.000;251.980.000.000.000
262,428374;-6,9811725;107,5691278;748,33;183.329.400.000.000;-224.000.000.000.000;631.000.000.000.000;251.870.000.000.000
262,628142;-6,9811968;107,5691504;748,82;187.590.000.000.000;-219.000.000.000.000;630.000.000.000.000;251.720.000.000.000
262,828294;-6,9812216;107,569173;749,27;188.553.800.000.000;-205.000.000.000.000;635.000.000.000.000;251.570.000.000.000
263,028375;-6,9812464;107,5691956;749,75;190.924.600.000.000;-186.000.000.000.000;646.000.000.000.000;251.430.000.000.000
263,228573;-6,9812717;107,5692185;750,11;191.236.200.000.000;-169.000.000.000.000;654.000.000.000.000;251.310.000.000.000
263,428403;-6,9812972;107,5692414;750,5;192.459.000.000.000;-152.000.000.000.000;662.000.000.000.000;251.210.000.000.000
